mean_Log_energy,mean_MFCC_0th_coef,mean_MFCC_1st_coef,mean_MFCC_2nd_coef,mean_MFCC_3rd_coef,mean_MFCC_4th_coef,mean_MFCC_5th_coef,mean_MFCC_6th_coef,mean_MFCC_7th_coef,mean_MFCC_8th_coef,mean_MFCC_9th_coef,mean_MFCC_10th_coef,mean_MFCC_11th_coef,mean_MFCC_12th_coef,mean_delta_log_energy,mean_0th_delta,mean_1st_delta,mean_2nd_delta,mean_3rd_delta,mean_4th_delta,mean_5th_delta,mean_6th_delta,mean_7th_delta,mean_8th_delta,mean_9th_delta,mean_10th_delta,mean_11th_delta,mean_12th_delta,mean_delta_delta_log_energy,mean_delta_delta_0th,mean_1st_delta_delta,mean_2nd_delta_delta,mean_3rd_delta_delta,mean_4th_delta_delta,mean_5th_delta_delta,mean_6th_delta_delta,mean_7th_delta_delta,mean_8th_delta_delta,mean_9th_delta_delta,mean_10th_delta_delta,mean_11th_delta_delta,mean_12th_delta_delta,std_Log_energy,std_MFCC_0th_coef,std_MFCC_1st_coef,std_MFCC_2nd_coef,std_MFCC_3rd_coef,std_MFCC_4th_coef,std_MFCC_5th_coef,std_MFCC_6th_coef,std_MFCC_7th_coef,std_MFCC_8th_coef,std_MFCC_9th_coef,std_MFCC_10th_coef,std_MFCC_11th_coef,std_MFCC_12th_coef,std_delta_log_energy,std_0th_delta,std_1st_delta,std_2nd_delta,std_3rd_delta,std_4th_delta,std_5th_delta,std_6th_delta,std_7th_delta,std_8th_delta,std_9th_delta,std_10th_delta,std_11th_delta,std_12th_delta,std_delta_delta_log_energy,std_delta_delta_0th,std_1st_delta_delta,std_2nd_delta_delta,std_3rd_delta_delta,std_4th_delta_delta,std_5th_delta_delta,std_6th_delta_delta,std_7th_delta_delta,std_8th_delta_delta,std_9th_delta_delta,std_10th_delta_delta,std_11th_delta_delta,std_12th_delta_delta,class
9.1817,11.4283,8.4781,2.4874,0.02292,0.55527,-1.6334,-1.5144,0.39725,0.61775,0.091821,0.54775,-0.0068247,-0.67274,-0.001013,-7.50E-5,-0.0033637,-0.00019208,0.0013567,-0.00089961,-0.003002,0.0015484,0.0051873,-0.00020542,-0.0047367,0.0024652,0.0025138,-0.0011875,-0.00017942,-0.00082784,-0.00049845,0.0013855,0.00017264,-0.00028585,0.00042833,-4.41E-5,-0.00033822,0.00043047,3.83E-5,-0.00035615,-7.62E-5,2.66E-5,0.34158,1.0279,0.65735,0.78036,0.30141,0.35418,0.19127,0.22892,0.3355,0.17101,0.28111,0.21511,0.16605,0.17762,0.049933,0.17226,0.089754,0.14627,0.040231,0.060808,0.030284,0.02883,0.042253,0.028115,0.04718,0.035775,0.020827,0.023057,0.016392,0.0788,0.043847,0.06641,0.021565,0.029594,0.015351,0.014642,0.019681,0.012829,0.021703,0.017089,0.010043,0.01213,1
9.6074,12.1387,8.5008,2.8986,-0.46733,0.45984,-1.3427,-1.6759,0.17695,0.72944,0.2361,0.54722,0.057552,-0.39555,-0.001849,-0.0027,-0.0026392,0.0029153,-0.0011785,-0.00077655,0.0019941,-0.00011016,-0.00064985,0.0025287,-0.00035422,-0.0029854,0.0014515,0.0025048,0.00048375,-1.24E-5,0.0013862,-0.00071687,-0.0013664,0.00016261,-0.00024127,-0.00061406,-0.00011168,-7.23E-5,0.00025242,0.00026005,0.00069057,-0.00010879,0.22994,0.92018,0.53349,0.65764,0.30758,0.38678,0.16571,0.2964,0.22642,0.16785,0.21342,0.22222,0.20581,0.2303,0.037774,0.17047,0.072764,0.15165,0.045076,0.076312,0.025376,0.050259,0.037071,0.022166,0.039071,0.030383,0.03236,0.032486,0.014222,0.087125,0.036786,0.077256,0.024058,0.038709,0.012191,0.0255,0.019374,0.010645,0.020296,0.015389,0.015488,0.016128,1
9.0512,11.3956,7.6362,3.2208,-0.48228,0.28918,-1.7334,-1.4929,0.7052,0.51173,0.16615,0.79354,0.28698,-0.64555,0.0010882,-0.0081681,0.0025423,0.0074243,-0.001044,0.00017662,-0.00062159,0.00061894,-0.0026842,-0.00030378,0.0036096,0.00021663,-4.28E-6,-0.00047007,0.00035371,5.73E-5,0.00033263,0.00074097,-0.00015778,-0.00060471,2.52E-5,-0.00056663,-0.00039975,-3.72E-5,0.00027211,-3.17E-5,-0.00016631,-0.00029845,0.52574,0.92039,0.53346,0.73041,0.31337,0.44232,0.3198,0.31467,0.30139,0.21901,0.25827,0.22618,0.21208,0.212,0.10945,0.14938,0.095065,0.15179,0.045403,0.08997,0.060735,0.054611,0.051511,0.032326,0.047357,0.031811,0.036249,0.038433,0.039709,0.068793,0.040982,0.068545,0.02474,0.039222,0.025675,0.024607,0.024819,0.016553,0.023186,0.017217,0.015073,0.016257,1
9.8453,13.7399,6.7365,3.1023,0.75419,-1.559,-1.0083,-0.65556,0.86495,1.4837,-0.15365,-0.89378,-0.75427,0.077452,-0.00072002,-0.0076002,0.001532,0.00064955,0.0012839,-0.00051613,0.0014377,0.00030993,-0.0014487,-0.00070635,0.00048745,-0.0029968,-0.0009698,0.001058,-0.00011203,0.00065284,-0.0011438,9.42E-5,0.00021784,0.00061654,-0.00082259,0.00019486,0.00026348,-0.00023155,0.00046743,0.0001028,-0.00013207,-8.01E-5,0.21182,1.0712,0.70803,0.59415,0.38868,0.27861,0.31571,0.20935,0.23498,0.24529,0.19689,0.20629,0.20627,0.25169,0.039296,0.18326,0.09935,0.072753,0.046507,0.046017,0.045901,0.035774,0.035142,0.032577,0.024291,0.0323,0.029051,0.037164,0.01556,0.074119,0.040403,0.030155,0.019442,0.018382,0.018555,0.017274,0.016129,0.015533,0.011976,0.015529,0.01377,0.015713,1
10.1542,14.7643,6.4634,2.9451,0.8321,-1.755,-1.0392,-0.51876,0.94225,1.5498,-0.20208,-1.0336,-0.88007,-0.10346,0.0019955,-0.00089137,-0.0018094,0.0042468,-0.00070423,-0.0017533,0.00091285,0.0044855,-0.0033919,-0.0010083,0.0018292,-0.0012499,-0.00075071,-0.001325,-0.00021127,-0.0014655,0.00094648,0.00036522,-0.00023541,-0.00016982,0.00064602,-0.00039793,0.00025618,0.00057599,-0.00028514,0.00017748,0.00013984,3.53E-5,0.17405,0.81706,0.43786,0.43213,0.2667,0.29672,0.1924,0.22488,0.2513,0.2209,0.17459,0.23269,0.20141,0.21294,0.028652,0.17084,0.06496,0.069561,0.046887,0.047531,0.033966,0.029721,0.033943,0.031989,0.026002,0.028222,0.030469,0.028731,0.011037,0.069915,0.026953,0.03016,0.022486,0.020515,0.017161,0.013791,0.016059,0.014382,0.012686,0.014478,0.013402,0.013618,1
9.802,13.8952,6.731,2.6799,0.92168,-1.7519,-0.85935,-0.62433,0.83613,1.5673,0.16329,-1.2148,-0.98289,0.0776,0.0033131,-0.011979,-0.0048937,0.01446,0.0012022,-0.0020665,0.00070354,0.0010693,-0.0035662,-0.0046385,0.0036886,-0.00058774,-0.0019798,-0.0029586,7.70E-5,0.00018531,-0.00062064,-0.00014024,0.0004048,4.94E-5,3.52E-6,-0.00010031,-4.52E-5,-7.27E-5,0.00029446,0.00053789,0.00019735,-0.0002146,0.34404,1.1657,0.60601,0.64759,0.38587,0.33587,0.3462,0.25275,0.25531,0.27431,0.22177,0.25192,0.2278,0.24388,0.04702,0.18749,0.083566,0.094331,0.057591,0.045075,0.032892,0.03523,0.0394,0.038531,0.029726,0.03825,0.035308,0.039203,0.022028,0.08358,0.038124,0.043562,0.027266,0.024693,0.015578,0.018248,0.01858,0.017719,0.015025,0.019438,0.0177,0.01809,1
9.8604,16.8423,4.9305,0.74769,1.2562,-2.7022,-2.8799,-0.97391,1.3692,0.12046,0.80736,-0.39208,-0.9571,0.52586,-0.0017201,-0.0085332,-0.0074497,0.009134,0.0011166,-0.008272,-0.0030577,0.00088843,0.00050828,0.0038155,0.0011082,0.0010195,-0.00080619,0.0022685,-2.56E-6,0.00026673,0.00019351,-0.00075769,-2.53E-5,-5.02E-5,-9.52E-5,-0.00014727,0.00026589,-0.00019518,0.00035356,-0.00036099,-0.00024678,-4.31E-5,0.14408,0.57592,0.3811,0.3749,0.34426,0.41892,0.27717,0.28054,0.27372,0.2753,0.18529,0.2297,0.1898,0.24069,0.023464,0.068999,0.039935,0.0404,0.055512,0.043387,0.033726,0.038029,0.039633,0.029105,0.02634,0.037075,0.026557,0.026981,0.0089708,0.027222,0.016963,0.018309,0.024326,0.019952,0.017329,0.017874,0.019139,0.014555,0.013068,0.017169,0.012914,0.014208,1
9.9129,16.1057,6.8758,-0.66462,0.52793,-1.6273,-2.4404,-1.0065,0.41979,0.17039,1.0621,-0.86943,-0.9913,0.3094,0.0017727,0.0087753,0.0015358,0.0027784,0.001892,0.004392,-0.0026004,0.0020051,-0.00062247,-0.0018078,0.0014356,-0.0032622,0.0021139,0.00094678,8.44E-6,0.00044595,-0.00049365,4.00E-5,-0.00034206,0.00060554,-0.00033843,-0.00032082,0.00028387,0.00021403,-0.00042553,0.00027205,-0.00014377,9.11E-5,0.17331,0.71091,0.41462,0.41321,0.32391,0.3088,0.25,0.28179,0.20809,0.22966,0.22229,0.21548,0.17019,0.1696,0.027843,0.1038,0.065919,0.065032,0.039869,0.049122,0.033236,0.031145,0.032252,0.029998,0.034423,0.027203,0.022659,0.019231,0.0098013,0.03914,0.02956,0.025544,0.020663,0.02166,0.01479,0.014798,0.015257,0.013645,0.01451,0.012634,0.010968,0.0097242,1
9.909,16.7174,6.4642,-1.3781,1.3395,-1.3161,-2.8526,-1.4534,0.76818,-0.013419,1.0857,-0.57764,-1.2912,0.44832,0.00018839,0.001537,-0.00072038,0.0012285,-0.0026778,0.0018133,0.0020239,-0.00099772,-0.002509,0.00023201,0.00078713,0.00048802,-0.00090491,0.00077365,-2.22E-5,-0.0007618,0.00082551,-0.00091611,0.00051199,2.28E-5,-3.79E-5,-0.00032464,0.00028771,-0.00046252,0.0002221,-0.00021925,0.00013653,2.09E-5,0.14965,0.56705,0.41218,0.37848,0.379,0.34207,0.29972,0.24076,0.24159,0.19567,0.17526,0.1349,0.12631,0.11931,0.020956,0.061879,0.066559,0.058872,0.051512,0.045829,0.031844,0.042498,0.03997,0.03276,0.026863,0.020389,0.020324,0.01638,0.008344,0.02749,0.034841,0.027965,0.02562,0.023025,0.015222,0.020505,0.019041,0.015607,0.013336,0.010832,0.010263,0.0090548,1
9.4496,12.1136,6.784,-0.034732,-1.9157,-1.7791,-1.6722,-1.8731,0.4632,0.92842,-1.2263,-1.242,-0.29561,0.20372,-0.0078822,-0.022858,0.0058924,0.0065111,-0.0011146,0.0047447,-0.00060037,-0.0043663,0.0016001,-0.00032958,0.00026256,0.0026621,-0.0019692,0.0017168,0.00023288,-0.00072136,2.32E-5,-0.00047945,-0.0001148,-0.00029355,-0.00015791,-0.00014065,0.00018859,0.00061779,-0.00021014,-0.00042751,-0.00019541,-0.00062479,0.52944,1.4103,0.46205,0.43311,0.30821,0.31662,0.23881,0.42704,0.23563,0.26669,0.17501,0.20495,0.18778,0.34193,0.044514,0.11093,0.073964,0.05998,0.046618,0.030822,0.033426,0.040577,0.034707,0.044717,0.026993,0.027495,0.023432,0.033662,0.017692,0.046383,0.037196,0.023005,0.018277,0.013201,0.014997,0.019883,0.01461,0.017956,0.012766,0.01296,0.011516,0.013365,1
9.7666,12.9138,6.9275,0.81669,-2.0275,-1.4786,-0.6259,-2.5354,0.12373,1.5187,-1.4838,-0.9659,-0.6369,-0.33732,-0.00069742,-0.0026891,0.0021546,0.0016927,-0.0018466,-0.0018755,0.0019322,-0.0012604,0.0008787,0.00029261,0.0011508,0.0022254,-0.0014063,-0.0026122,0.00013598,-0.00089027,0.00024974,0.00032996,-9.99E-6,-0.00026834,0.0001972,-0.00026606,0.00016066,0.00030074,1.99E-5,0.00015474,-0.00027362,-0.00013392,0.38531,1.198,0.54936,0.47131,0.41967,0.28401,0.3731,0.49283,0.28063,0.27727,0.3344,0.299,0.25711,0.21448,0.067715,0.15556,0.056514,0.049342,0.058471,0.033619,0.05247,0.057786,0.031271,0.041909,0.044203,0.029038,0.033547,0.028896,0.022122,0.055911,0.03152,0.01974,0.025477,0.015759,0.024562,0.027823,0.014612,0.020466,0.021287,0.011471,0.012387,0.012823,1
9.7855,11.8357,6.5105,0.7111,-2.7049,-2.0298,-1.3457,-2.3347,0.3648,1.5218,-0.95541,-0.60273,-0.50188,-0.13483,-0.0019225,-0.0063555,-0.00035215,0.0034425,0.0029547,0.00035519,-0.0017462,0.0017098,-0.0012586,-0.00075067,0.0049768,0.0032251,0.00097828,0.00074548,0.00012803,0.0012249,-0.00073742,-0.0003123,0.00041933,-0.00020207,-0.00030152,0.00029501,-0.00012984,-0.00062455,0.00026361,-0.00033224,-0.00027025,5.18E-5,0.30549,0.80278,0.44345,0.48376,0.35016,0.18873,0.37176,0.337,0.21891,0.26219,0.34364,0.19192,0.17285,0.23749,0.030735,0.10584,0.078578,0.072988,0.059105,0.024036,0.039582,0.057241,0.034818,0.041854,0.035158,0.03438,0.022774,0.037605,0.012044,0.040589,0.033935,0.02537,0.022133,0.011995,0.018028,0.024836,0.014099,0.01625,0.015845,0.013976,0.0098161,0.014688,1
9.5537,15.6995,4.2309,3.1396,-2.0113,-1.0458,0.16759,-1.1977,-0.23263,0.68748,-1.0169,-0.78735,-1.7935,-0.57237,-0.0055677,-0.0031712,-0.0061649,0.0015175,-0.0016955,-0.0066362,0.0038604,-0.0050462,-0.0014516,0.0014051,-0.00096614,0.0011416,0.0018087,-0.0035226,-0.00018004,-0.00033491,-0.00065562,0.00039172,0.00078295,2.84E-6,0.00035139,0.00033107,-0.00018461,2.43E-5,0.00020129,0.00060559,-0.00022502,-9.41E-5,0.42435,0.5647,0.43175,0.4075,0.36768,0.39485,0.28676,0.31685,0.26446,0.2344,0.24943,0.25388,0.20986,0.29188,0.062256,0.072315,0.048468,0.044117,0.054095,0.052011,0.031201,0.034186,0.035548,0.032304,0.02974,0.035859,0.026435,0.032368,0.026047,0.02858,0.022537,0.020534,0.02389,0.022972,0.017037,0.016312,0.019221,0.016488,0.015837,0.017394,0.01411,0.016662,1
